PRISM,GDSC
BRD-K71847383,293.0
BRD-A98990573,1062.0
BRD-K33127281,193.0
BRD-K19388745,255.0
BRD-K11640013,119.0
BRD-K53123955,166.0
BRD-K90027121,147.0
BRD-A19585813,1038.0
BRD-A85667082,202.0
BRD-A71725768,37.0
BRD-A14240607,1133.0
BRD-K44067360,136.0
BRD-K14329163,35.0
BRD-K28453807,86.0
BRD-K26824830,34.0
BRD-A57833392,170.0
BRD-K51471001,1069.0
BRD-A70858459,156.0
BRD-A57382968,71.0
BRD-K59632282,207.0
BRD-K31468676,88.0
BRD-A11551002,185.0
BRD-K04430056,180.0
BRD-K66715657,1053.0
BRD-K09132007,1066.0
BRD-K09900591,165.0
BRD-A74765037,52.0
BRD-K30990140,63.0
BRD-K72231366,186.0
BRD-A03216249,1023.0
BRD-K36627727,172.0
BRD-A16997652,17.0
BRD-K26634012,1058.0
BRD-U45393375,59.0
BRD-K26619122,163.0
BRD-K81839095,94.0
BRD-K88172511,1042.0
BRD-K23566484,127.0
BRD-A91733352,89.0
BRD-A14395271,106.0
BRD-K69116396,1129.0
BRD-K29458283,6.0
BRD-K71106091,1067.0
BRD-K35687421,199.0
BRD-K15916496,64.0
BRD-A03623303,1029.0
BRD-K67977190,111.0
BRD-K47978074,1072.0
BRD-K25837718,192.0
BRD-K84466663,1009.0
BRD-A91452556,104.0
BRD-K04196797,1039.0
BRD-A70649075,1043.0
BRD-K21565985,110.0
BRD-K70246307,91.0
BRD-K61192372,
BRD-K28307902,
BRD-K68095457,
BRD-K26657438,
BRD-A25234499,
BRD-A31095847,
BRD-K83508485,
BRD-K97101532,
BRD-K57927309,
BRD-K18849474,
BRD-A50998626,
BRD-K55966568,
BRD-K40797222,
BRD-K07736136,
BRD-K51662849,
BRD-A95696066,
BRD-K66241279,
BRD-K03384561,
BRD-A47953250,
BRD-K82928892,
BRD-K83003151,
BRD-K73838513,
BRD-A75919782,
BRD-K86204871,
BRD-A01643550,
BRD-K42938903,
BRD-K84091759,
BRD-K40992116,
BRD-K16277217,
BRD-K35952844,
BRD-A59303141,
BRD-A83937277,
BRD-K59647213,
BRD-K11267252,
BRD-A81129465,
BRD-K18574842,
BRD-K24048528,
BRD-K82861010,
BRD-K19615002,
BRD-K88568253,
BRD-A27887842,
BRD-K66808046,
BRD-K92872987,
BRD-K35240538,
BRD-A30582499,
BRD-A06352418,
BRD-K85090592,
BRD-K53972329,
BRD-A11132253,
BRD-K02900412,
BRD-K97810537,
BRD-K10670311,
BRD-K48195008,
BRD-A00758722,
BRD-A02180903,
BRD-K13249881,
BRD-A50311610,
BRD-K45252063,
BRD-K54094468,
BRD-K67043667,
BRD-K34411947,
BRD-A24397426,
BRD-K43860855,
BRD-K09416995,
BRD-A16700644,
BRD-K82181219,
BRD-K40787673,
BRD-K47635719,
BRD-K56851771,
BRD-K38197229,
BRD-K45033733,
BRD-U25960968,
BRD-A58564983,
BRD-K60237333,
BRD-K60160658,
BRD-K60866521,
BRD-A55962179,
BRD-K71822263,
BRD-K41141507,
BRD-K64381438,
BRD-K75466013,
BRD-A09722536,
BRD-K96424892,
BRD-K51199656,
BRD-A53151380,
BRD-K75037734,
BRD-K33425534,
BRD-A68304895,
BRD-A67862938,
BRD-K50590187,
BRD-K49840922,
BRD-A64743628,
BRD-K17294426,
BRD-K63828191,
BRD-K35520305,
BRD-A31521121,
BRD-A39390670,
BRD-K92073408,
BRD-K59574735,
BRD-K62810658,
BRD-A14344385,
BRD-K98157055,
BRD-A34751532,
BRD-A72703248,
BRD-K51474575,
BRD-K52172416,
BRD-A24587114,
BRD-K49555808,
BRD-K85406984,
BRD-K09602097,
BRD-K22822991,
BRD-K94559059,
BRD-K87737963,
BRD-A74208568,
BRD-K73391359,
BRD-M89827113,
BRD-A64064900,
BRD-K95573441,
BRD-K19796430,
BRD-K55703048,
BRD-K08703257,
BRD-K56751279,
BRD-K01029106,
BRD-K02389548,
BRD-K39624409,
BRD-K14880289,
BRD-K68103045,
BRD-K73319509,
BRD-K61036791,
BRD-K59325863,
BRD-K05445342,
BRD-A26032986,
BRD-A24514565,
BRD-K08303368,
BRD-K65377893,
BRD-K97799481,
BRD-A93695607,
BRD-K78126613,
BRD-K68507560,
BRD-K31812033,
BRD-K74501079,
BRD-A20239487,
BRD-K21937671,
BRD-K25433859,
BRD-K21547160,
BRD-A03932035,
BRD-M80207679,
BRD-A14886633,
BRD-A80017228,
BRD-K07359318,
BRD-A17846016,
BRD-K44827188,
BRD-K34332569,
BRD-A67097164,
BRD-K65781196,
BRD-K38458514,
BRD-A99888680,
BRD-A26503646,
BRD-A17883755,
BRD-A67516570,
BRD-K16195444,
BRD-K63712959,
BRD-K99107520,
BRD-K85554912,
BRD-K76037122,
BRD-K92441787,
BRD-K37793595,
BRD-K74141488,
BRD-K52662033,
BRD-K50071428,
BRD-K04552268,
BRD-K15766189,
BRD-K88789588,
BRD-K52020312,
BRD-K73425385,
BRD-K50388907,
BRD-K97752965,
BRD-K62607865,
BRD-K26011976,
BRD-K84798689,
BRD-A68083442,
BRD-K84892605,
BRD-K73303757,
BRD-K58466253,
BRD-K89391146,
BRD-K61536336,
BRD-K87036601,
BRD-K74227499,
BRD-K04622161,
BRD-K66030860,
BRD-K01653460,
BRD-K28143534,
BRD-K82846253,
BRD-K83022601,
BRD-K84810405,
BRD-K42756753,
BRD-A23127772,
BRD-K48826825,
BRD-K37723606,
BRD-K18375018,
BRD-K33818169,
BRD-K47557313,
BRD-K21782625,
BRD-K80129304,
BRD-K51143828,
BRD-K48578705,
BRD-K84011460,
BRD-K81074237,
BRD-K82122102,
BRD-A12994259,
BRD-A20644369,
BRD-K96253961,
BRD-K43457670,
BRD-K19761926,
BRD-K54838207,
BRD-K13050303,
BRD-K93754473,
BRD-K97440753,
BRD-K97472745,
BRD-K54847683,
BRD-K13314656,
BRD-K52756523,
BRD-K29582115,
BRD-A88138582,
BRD-K60369935,
BRD-K39467894,
BRD-A95886749,
BRD-A90272038,
BRD-K95926480,
BRD-K83607951,
BRD-K47049295,
BRD-K75478907,
BRD-A93477898,
BRD-K46585355,
BRD-K42973005,
BRD-K18613660,
BRD-K80060353,
BRD-K06593056,
BRD-K25690923,
BRD-K84663978,
BRD-A00077618,
BRD-A71033472,
BRD-K48684885,
BRD-K06543683,
BRD-A91831168,
BRD-K58299615,
BRD-K79684402,
BRD-A80213327,
BRD-A10523515,
BRD-K23952234,
BRD-K15071410,
BRD-K14175878,
BRD-K11071038,
BRD-K35629949,
BRD-K59929863,
BRD-K55675242,
BRD-K48195801,
BRD-K10784860,
BRD-K86972824,
BRD-A86248581,
BRD-K63123526,
BRD-K64785675,
BRD-K32405725,
BRD-K49456274,
BRD-K00662280,
BRD-K76210423,
BRD-A73556557,
BRD-K50850824,
BRD-K40109029,
BRD-K57284066,
BRD-K45446451,
BRD-K61295575,
BRD-K39160765,
BRD-A60594020,
BRD-K76840893,
BRD-K67298865,
BRD-K06234293,
BRD-K00312224,
BRD-K13087974,
BRD-K78086729,
BRD-K98521173,
BRD-K49071277,
BRD-K13302470,
BRD-K79555887,
BRD-K70159787,
BRD-K15025317,
BRD-K45662124,
BRD-K80725821,
BRD-K11590034,
BRD-K30519779,
BRD-K44993696,
BRD-K18163608,
BRD-A43885598,
BRD-K25596805,
BRD-K70821460,
BRD-K95435023,
BRD-K77245796,
BRD-K36739687,
BRD-K26305185,
BRD-K16338837,
BRD-K34533029,
BRD-K70177501,
BRD-A27883417,
BRD-A28329383,
BRD-K20755323,
BRD-K16803204,
BRD-K67173685,
BRD-K86118762,
BRD-K44590731,
BRD-K90574421,
BRD-K15519488,
BRD-K62391742,
BRD-K19085898,
BRD-K42495768,
BRD-K01295354,
BRD-K36467523,
BRD-K11244467,
BRD-K08791496,
BRD-K17555800,
BRD-K48141473,
BRD-K56483981,
BRD-K36234266,
BRD-K69172251,
BRD-A13561534,
BRD-M29182745,
BRD-K91614056,
BRD-K59058747,
BRD-M97302542,
BRD-K90647725,
BRD-K13533483,
BRD-K88807631,
BRD-K21152241,
BRD-K28061410,
BRD-K34251960,
BRD-K16505263,
BRD-K22588750,
BRD-K89490285,
BRD-K76719364,
BRD-K99879819,
BRD-K17472821,
BRD-K46862739,
BRD-K72280606,
BRD-K58529924,
BRD-K18898553,
BRD-K91543828,
BRD-K96344439,
